method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_randomized,4,PCA_randomized,4,0.2965338923886347,0.009519689709759496,5460.306003046037,0.29865291545382083,0.45456149297727744,0.029569149017333984
PCA_randomized,4,PCA_randomized,5,0.27010893336968833,0.016851332826315214,4809.436473412894,0.19882436596349845,0.3791522499407103,0.030716419219970703
PCA_randomized,4,PCA_randomized,6,0.2784669961567034,0.01861596815252637,4325.399920399988,0.20220031521369636,0.4130055174908137,0.0337529182434082
PCA_randomized,4,PCA_randomized,7,0.30167873233029324,0.013096816169489775,3894.0690369180375,0.2555749995986321,0.4852383429700552,0.035695791244506836
PCA_randomized,4,PCA_randomized,8,0.29510427463224714,0.01143058095843588,3522.6851207411305,0.28178543777560844,0.5113179951294269,0.03618288040161133
PCA_randomized,5,PCA_randomized,2,0.2902812622493825,0.01800559474026807,9710.689945842727,0.18293789086742732,0.28813998239806937,0.020334959030151367
PCA_randomized,5,PCA_randomized,3,0.2561044761704589,0.019211415985093412,8309.38744036384,0.28080425285541344,0.4393859132685782,0.0272524356842041
PCA_randomized,5,PCA_randomized,4,0.2583252917702948,0.007280833737241494,7155.826368406682,0.32164377226256596,0.4729510030364861,0.029897212982177734
PCA_randomized,5,PCA_randomized,5,0.2700082155739194,0.009040294594991042,6181.864114929915,0.29865291545382083,0.45456149297727744,0.029639720916748047
PCA_randomized,5,PCA_randomized,6,0.2642896380899187,0.027100561253327923,5391.824677178973,0.21464682528348233,0.4057623930229057,0.03632330894470215
PCA_randomized,5,PCA_randomized,7,0.26866765842498125,0.028524256357074302,4903.545011103834,0.21893566322478158,0.42769224041129517,0.038509368896484375
PCA_randomized,5,PCA_randomized,8,0.2822673964551162,0.020319012790202887,4453.774178469723,0.27980121331512614,0.5074396912752127,0.0707864761352539
PCA_randomized,6,PCA_randomized,2,0.268013671404113,0.01951201925652275,10989.26911647745,0.19850435187090196,0.30314614342986157,0.023663043975830078
PCA_randomized,6,PCA_randomized,3,0.22484015955902933,0.008252433439102789,9588.607307688413,0.28080425285541344,0.4393859132685782,0.03277277946472168
PCA_randomized,6,PCA_randomized,4,0.233563900210293,0.00729842008870366,8419.7230557798,0.29196523043542316,0.452182013865315,0.03688693046569824
PCA_randomized,6,PCA_randomized,5,0.24177825817384335,0.010070171898987772,7400.752690032075,0.29865291545382083,0.45456149297727744,0.03582000732421875
PCA_randomized,6,PCA_randomized,6,0.24280040276467377,0.010070171898987772,6555.211954303462,0.2476762399524691,0.4323498211992849,0.04167461395263672
PCA_randomized,6,PCA_randomized,7,0.26181907184199366,0.010070171898987772,5897.910850265768,0.26033840929976587,0.47399776298193097,0.04572868347167969
PCA_randomized,6,PCA_randomized,8,0.2921691130691772,0.011036929390882607,5310.303078799696,0.2224125639743358,0.43469151758496705,0.05042123794555664
PCA_randomized,7,PCA_randomized,2,0.2535260713042356,0.018127140976139808,12218.090261511776,0.19850435187090196,0.30314614342986157,0.0253448486328125
PCA_randomized,7,PCA_randomized,3,0.22122944660786575,0.021914310293776145,10801.582475882407,0.25670041691483025,0.41669566422713217,0.030084848403930664
PCA_randomized,7,PCA_randomized,4,0.2144696963918399,0.007590299428081938,9611.821508979803,0.260103436023635,0.41185177526481626,0.0377500057220459
PCA_randomized,7,PCA_randomized,5,0.2229730805573439,0.00832995324676275,8522.137922172187,0.26752664542357985,0.4115140637970242,0.026736974716186523
PCA_randomized,7,PCA_randomized,6,0.23368740941822716,0.009686629181604633,7689.530704201239,0.20637732506643047,0.37415301970027814,0.038874149322509766
PCA_randomized,7,PCA_randomized,7,0.24059619111187047,0.009918775828027429,7000.383549249146,0.20818426659163083,0.4273119503898353,0.04510641098022461
